country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Australia,7.450047016,7.405616283,7.195585728,7.364169121,7.288550377,7.309060574,7.250080109,7.25703764,7.17699337,7.233994961,72.93113518
Azerbaijan,4.218610764,4.680469513,4.910771847,5.481178284,5.25153017,5.146774769,5.303894997,5.152279377,5.167995453,5.173389435,50.48689461
Bangladesh,4.858481407,4.985649109,4.724443913,4.660161018,4.635564804,4.633473873,4.5561409,4.309771061,4.499217033,5.114216805,46.97711992
Belarus,5.525923252,5.225307941,5.749043465,5.876466274,5.812400818,5.718907833,5.177899361,5.552915096,5.233769894,5.821453094,55.69408703
Bolivia,5.780620098,5.778874397,6.018894672,5.767428875,5.864798546,5.834329128,5.769723415,5.65055275,5.915734291,5.67427063,58.0552268
Brazil,6.837331295,7.037816525,6.660003662,7.140282631,6.980998993,6.546896935,6.374817371,6.332929134,6.190921783,6.451148987,66.55314732
Cambodia,4.141072273,4.161225319,3.898706913,3.674466848,3.88330555,4.162164688,4.461259365,4.585842133,5.121837616,4.998284817,43.08816552
Cameroon,4.554256916,4.433885098,4.244634151,4.271038055,4.240441322,5.037964821,4.816232204,5.07405138,5.250737667,4.936737537,46.85997915
Canada,7.650346279,7.426053524,7.415144444,7.593793869,7.30425787,7.412772655,7.244845867,7.414868355,7.175496578,7.1090765,73.74665594
Chad,3.742871046,4.393482208,4.03297472,3.507663012,3.460182905,4.322675228,4.029350281,4.558937073,4.486325264,4.250799179,40.78526092
Chile,6.63565588,6.526334763,6.599128723,6.74015379,6.844238281,6.532749653,6.579056263,6.320119381,6.436220646,5.942250252,65.15590763
China,4.652736664,5.037207603,5.094917297,5.241090298,5.195619106,5.303877831,5.32495594,5.099061489,5.131433964,5.144120216,51.22502041
Colombia,6.40811348,6.463952541,6.374879837,6.606550694,6.44878912,6.387571812,6.233715057,6.157341957,5.983512402,6.350297928,63.41472483
Costa Rica,7.271053791,7.228888512,7.272250175,7.158000469,7.247086048,6.854004383,7.135617733,7.22518158,7.141074657,6.997618675,71.53077602
Denmark,7.770515442,7.78823185,7.519909382,7.588606834,7.507559299,7.514424801,7.55778265,7.593702316,7.648785591,7.693003178,76.18252134
Dominican Republic,4.735021114,5.396535397,4.753311157,5.015515327,5.387331963,5.061862469,5.238698483,5.605202675,5.433215618,6.004237175,52.63093138
Ecuador,5.838051319,5.795088291,5.960716248,6.019206047,5.945851803,5.964075089,6.115437508,5.839518547,6.128010273,5.809131145,59.41508627
Egypt,4.668916225,4.174158573,4.204156876,3.558520317,4.885072708,4.762538433,4.556740761,3.929344177,4.005450726,4.327831745,43.07273054
El Salvador,6.739911079,4.741294861,5.934371471,6.325063229,5.856523514,6.018496037,6.139824867,6.339318275,6.241199493,6.454820633,60.79082346
Georgia,4.101837158,4.203030586,4.254445553,4.348920822,4.287508011,4.121940613,4.448386192,4.45077467,4.659097195,4.89183569,43.76777649
Germany,6.724531174,6.621312141,6.702362061,6.965125084,6.984214306,7.037137508,6.873763084,7.074324608,7.118364334,7.035472393,69.13660669
